airline,origin_city,origin_iata_code,destination_city,destination_iata_code,direct,active,seasonal_route,start_date
G4,,SFB,,CKB,TRUE,TRUE,,
G4,,PIE,,CKB,TRUE,TRUE,,
G4,,AUS,,CVG,TRUE,TRUE,,
G4,,CHS,,CVG,TRUE,TRUE,,
G4,,MSY,,CVG,TRUE,TRUE,,
G4,,PBI,,CVG,TRUE,TRUE,,
G4,,DEN,,CVG,TRUE,TRUE,TRUE,
G4,,EYW,,CVG,TRUE,TRUE,,
G4,,MLB,,CVG,TRUE,TRUE,,
G4,,EWR,,CVG,TRUE,TRUE,,
G4,,ORF,,CVG,TRUE,TRUE,TRUE,
G4,,JAX,,CVG,TRUE,TRUE,,
G4,,SAV,,CVG,TRUE,TRUE,,
G4,,SRQ,,CVG,TRUE,TRUE,,
G4,,FLL,,CVG,TRUE,TRUE,,
G4,,MYR,,CVG,TRUE,TRUE,,
G4,,VPS,,CVG,TRUE,TRUE,,
G4,,LAX,,CVG,TRUE,TRUE,,
G4,,PGD,,CVG,TRUE,TRUE,,
G4,,LAS,,CVG,TRUE,TRUE,,
G4,,AZA,,CVG,TRUE,TRUE,,
G4,,SFB,,CVG,TRUE,TRUE,,
G4,,PIE,,CVG,TRUE,TRUE,,
G4,,VPS,,DAY,TRUE,TRUE,TRUE,
G4,,PGD,,DAY,TRUE,TRUE,,
G4,,SFB,,DAY,TRUE,TRUE,,
G4,,PIE,,DAY,TRUE,TRUE,,
G4,,AUS,,DSM,TRUE,TRUE,,
G4,,HOU,,DSM,TRUE,TRUE,,
G4,,EWR,,DSM,TRUE,TRUE,,
G4,,PDX,,DSM,TRUE,TRUE,,
G4,,SNA,,DSM,TRUE,TRUE,,
G4,,SRQ,,DSM,TRUE,TRUE,,
G4,,FLL,,DSM,TRUE,TRUE,,
G4,,BNA,,DSM,TRUE,TRUE,,
G4,,VPS,,DSM,TRUE,TRUE,TRUE,
G4,,LAX,,DSM,TRUE,TRUE,TRUE,
G4,,PGD,,DSM,TRUE,TRUE,,
G4,,LAS,,DSM,TRUE,TRUE,,
G4,,AZA,,DSM,TRUE,TRUE,,
G4,,SFB,,DSM,TRUE,TRUE,,
G4,,PIE,,DSM,TRUE,TRUE,,
G4,,PGD,,ELM,TRUE,TRUE,,
G4,,SFB,,ELM,TRUE,TRUE,,
G4,,PIE,,ELM,TRUE,TRUE,,
G4,,SAN,,ELP,TRUE,TRUE,TRUE,
G4,,LAS,,ELP,TRUE,TRUE,,
G4,,SFB,,ELP,TRUE,TRUE,TRUE,
G4,,SNA,,EUG,TRUE,TRUE,,
G4,,SAN,,EUG,TRUE,TRUE,TRUE,
G4,,LAS,,EUG,TRUE,TRUE,,
G4,,AZA,,EUG,TRUE,TRUE,,
G4,,VPS,,EVV,TRUE,TRUE,TRUE,
G4,,SFB,,EVV,TRUE,TRUE,,
G4,,PIE,,EVV,TRUE,TRUE,,
G4,,SAV,,EWR,TRUE,TRUE,,
G4,,VPS,,EWR,TRUE,TRUE,,
G4,,BNA,,FAR,TRUE,TRUE,,
G4,,LAX,,FAR,TRUE,TRUE,TRUE,
G4,,LAS,,FAR,TRUE,TRUE,,
G4,,AZA,,FAR,TRUE,TRUE,,
G4,,SFB,,FAR,TRUE,TRUE,,
G4,,PIE,,FAR,TRUE,TRUE,,
G4,,OAK,,FCA,TRUE,TRUE,TRUE,
G4,,LAX,,FCA,TRUE,TRUE,,
G4,,LAS,,FCA,TRUE,TRUE,,
G4,,AZA,,FCA,TRUE,TRUE,,
G4,,SAV,,FLL,TRUE,TRUE,,
G4,,BNA,,FLL,TRUE,TRUE,,
G4,,JAX,,FNT,TRUE,TRUE,,
G4,,SRQ,,FNT,TRUE,TRUE,,
G4,,FLL,,FNT,TRUE,TRUE,,
G4,,BNA,,FNT,TRUE,TRUE,,
G4,,VPS,,FNT,TRUE,TRUE,,
G4,,PGD,,FNT,TRUE,TRUE,,
G4,,LAS,,FNT,TRUE,TRUE,,
G4,,AZA,,FNT,TRUE,TRUE,,
G4,,SFB,,FNT,TRUE,TRUE,,
G4,,PIE,,FNT,TRUE,TRUE,,
G4,,LAS,,FAT,TRUE,TRUE,,
G4,,FLL,,FSD,TRUE,TRUE,,
G4,,BNA,,FSD,TRUE,TRUE,,
G4,,SAN,,FSD,TRUE,TRUE,TRUE,
G4,,LAX,,FSD,TRUE,TRUE,TRUE,
G4,,PGD,,FSD,TRUE,TRUE,,
G4,,LAS,,FSD,TRUE,TRUE,,
G4,,AZA,,FSD,TRUE,TRUE,,
G4,,SFB,,FSD,TRUE,TRUE,,
G4,,PIE,,FSD,TRUE,TRUE,,
G4,,SRQ,,FWA,TRUE,TRUE,,
G4,,MYR,,FWA,TRUE,TRUE,TRUE,
G4,,PGD,,FWA,TRUE,TRUE,,
G4,,LAS,,FWA,TRUE,TRUE,,
G4,,AZA,,FWA,TRUE,TRUE,,
G4,,SFB,,FWA,TRUE,TRUE,,
G4,,PIE,,FWA,TRUE,TRUE,,
G4,,SNA,,GEG,TRUE,TRUE,,
G4,,LAS,,GEG,TRUE,TRUE,,
G4,,AZA,,GEG,TRUE,TRUE,,
G4,,LAX,,GJT,TRUE,TRUE,TRUE,
G4,,LAS,,GJT,TRUE,TRUE,,
G4,,LAS,,GFK,TRUE,TRUE,,
G4,,AZA,,GFK,TRUE,TRUE,,
G4,,SFB,,GFK,TRUE,TRUE,,
G4,,LAS,,GRI,TRUE,TRUE,,
G4,,AZA,,GRI,TRUE,TRUE,,
G4,,LAS,,GTF,TRUE,TRUE,,
G4,,AZA,,GTF,TRUE,TRUE,,
G4,,SFB,,GSO,TRUE,TRUE,,
G4,,PIE,,GSO,TRUE,TRUE,,
G4,,AUS,,GRR,TRUE,TRUE,,
G4,,BOS,,GRR,TRUE,TRUE,,
G4,,PBI,,GRR,TRUE,TRUE,,
G4,,EWR,,GRR,TRUE,TRUE,TRUE,
G4,,SAV,,GRR,TRUE,TRUE,,
G4,,SRQ,,GRR,TRUE,TRUE,,
G4,,FLL,,GRR,TRUE,TRUE,,
G4,,BNA,,GRR,TRUE,TRUE,,
G4,,VPS,,GRR,TRUE,TRUE,,
G4,,LAX,,GRR,TRUE,TRUE,TRUE,
G4,,PGD,,GRR,TRUE,TRUE,,
G4,,LAS,,GRR,TRUE,TRUE,,
G4,,AZA,,GRR,TRUE,TRUE,,
G4,,SFB,,GRR,TRUE,TRUE,,
G4,,PIE,,GRR,TRUE,TRUE,,
G4,,FLL,,GSP,TRUE,TRUE,,
G4,,SFB,,GSP,TRUE,TRUE,,
G4,,PIE,,GSP,TRUE,TRUE,,
G4,,MYR,,HGR,TRUE,TRUE,,
G4,,SFB,,HGR,TRUE,TRUE,,
G4,,PIE,,HGR,TRUE,TRUE,,
G4,,MYR,,HTS,TRUE,TRUE,TRUE,
G4,,VPS,,HTS,TRUE,TRUE,,
G4,,PGD,,HTS,TRUE,TRUE,TRUE,
G4,,SFB,,HTS,TRUE,TRUE,,
G4,,PIE,,HTS,TRUE,TRUE,,
G4,,JAX,,IAD,TRUE,TRUE,,
G4,,SRQ,,IAD,TRUE,TRUE,,
G4,,PGD,,IAD,TRUE,TRUE,,
G4,,VPS,,ICT,TRUE,TRUE,,
G4,,LAX,,ICT,TRUE,TRUE,TRUE,
G4,,LAS,,ICT,TRUE,TRUE,,
G4,,AZA,,ICT,TRUE,TRUE,,
G4,,SFB,,ICT,TRUE,TRUE,,
G4,,OAK,,IDA,TRUE,TRUE,TRUE,
G4,,PDX,,IDA,TRUE,TRUE,,
G4,,SNA,,IDA,TRUE,TRUE,,
G4,,SAN,,IDA,TRUE,TRUE,TRUE,
G4,,LAS,,IDA,TRUE,TRUE,,
G4,,AZA,,IDA,TRUE,TRUE,,
G4,,AUS,,IND,TRUE,TRUE,TRUE,
G4,,CHS,,IND,TRUE,TRUE,TRUE,
G4,,PBI,,IND,TRUE,TRUE,,
G4,,EYW,,IND,TRUE,TRUE,,
G4,,JAX,,IND,TRUE,TRUE,,
G4,,SAV,,IND,TRUE,TRUE,,
G4,,SRQ,,IND,TRUE,TRUE,,
G4,,FLL,,IND,TRUE,TRUE,,
G4,,MYR,,IND,TRUE,TRUE,TRUE,
G4,,VPS,,IND,TRUE,TRUE,,
G4,,PGD,,IND,TRUE,TRUE,,
G4,,LAS,,IND,TRUE,TRUE,,
G4,,SFB,,IND,TRUE,TRUE,,
G4,,PIE,,IND,TRUE,TRUE,,
G4,,ORF,,JAX,TRUE,TRUE,,
G4,,SFB,,EYW,TRUE,TRUE,,
G4,,PIE,,EYW,TRUE,TRUE,,
G4,,LAS,,LRD,TRUE,TRUE,,
G4,,VPS,,LAS,TRUE,TRUE,,
G4,,SAN,,LAS,TRUE,TRUE,TRUE,
G4,,LAX,,LAS,TRUE,TRUE,TRUE,
G4,,AZA,,LAS,TRUE,TRUE,,
G4,,LAS,,LAX,TRUE,TRUE,TRUE,
G4,,ORF,,LCK,TRUE,TRUE,TRUE,
G4,,JAX,,LCK,TRUE,TRUE,TRUE,
G4,,SAV,,LCK,TRUE,TRUE,,
G4,,SRQ,,LCK,TRUE,TRUE,,
G4,,FLL,,LCK,TRUE,TRUE,,
G4,,MYR,,LCK,TRUE,TRUE,,
G4,,VPS,,LCK,TRUE,TRUE,,
G4,,PGD,,LCK,TRUE,TRUE,,
G4,,SFB,,LCK,TRUE,TRUE,,
G4,,PIE,,LCK,TRUE,TRUE,,
G4,,FLL,,LEX,TRUE,TRUE,,
G4,,MYR,,LEX,TRUE,TRUE,TRUE,
G4,,VPS,,LEX,TRUE,TRUE,TRUE,
G4,,PGD,,LEX,TRUE,TRUE,,
G4,,LAS,,LEX,TRUE,TRUE,,
G4,,SFB,,LEX,TRUE,TRUE,,
G4,,PIE,,LEX,TRUE,TRUE,,
G4,,VPS,,LIT,TRUE,TRUE,TRUE,
G4,,LAX,,LIT,TRUE,TRUE,TRUE,
G4,,SFB,,LIT,TRUE,TRUE,,
G4,,VPS,,MCI,TRUE,TRUE,,
G4,,PGD,,MCI,TRUE,TRUE,,
G4,,LAS,,MCI,TRUE,TRUE,,
G4,,SFB,,MCI,TRUE,TRUE,TRUE,
G4,,PIE,,MCI,TRUE,TRUE,,
G4,,JAX,,MDT,TRUE,TRUE,,
G4,,SRQ,,MDT,TRUE,TRUE,,
G4,,FLL,,MDT,TRUE,TRUE,,
G4,,MYR,,MDT,TRUE,TRUE,,
G4,,BNA,,MDT,TRUE,TRUE,,
G4,,PGD,,MDT,TRUE,TRUE,,
G4,,SFB,,MDT,TRUE,TRUE,,
G4,,PIE,,MDT,TRUE,TRUE,,
G4,,SAV,,MDW,TRUE,TRUE,,
G4,,VPS,,MDW,TRUE,TRUE,,
G4,,PGD,,MDW,TRUE,TRUE,,
G4,,FLL,,MEM,TRUE,TRUE,,
G4,,VPS,,MEM,TRUE,TRUE,TRUE,
G4,,LAX,,MEM,TRUE,TRUE,,
G4,,LAS,,MEM,TRUE,TRUE,,
G4,,AZA,,MEM,TRUE,TRUE,TRUE,
G4,,SFB,,MEM,TRUE,TRUE,,
G4,,PIE,,MEM,TRUE,TRUE,,
G4,,LAX,,MFE,TRUE,TRUE,TRUE,
G4,,LAS,,MFE,TRUE,TRUE,,
G4,,SFB,,MFE,TRUE,TRUE,,
G4,,PIE,,MFE,TRUE,TRUE,,
G4,,SNA,,MFR,TRUE,TRUE,,
G4,,SAN,,MFR,TRUE,TRUE,TRUE,
G4,,LAS,,MFR,TRUE,TRUE,,
G4,,AZA,,MFR,TRUE,TRUE,TRUE,
G4,,LAS,,MOT,TRUE,TRUE,,
G4,,AZA,,MOT,TRUE,TRUE,,
G4,,SFB,,MOT,TRUE,TRUE,,
G4,,PGD,,MLI,TRUE,TRUE,,
G4,,LAS,,MLI,TRUE,TRUE,,
G4,,AZA,,MLI,TRUE,TRUE,,
G4,,SFB,,MLI,TRUE,TRUE,,
G4,,PIE,,MLI,TRUE,TRUE,,
G4,,LAS,,MRY,TRUE,TRUE,,
G4,,OAK,,MSO,TRUE,TRUE,TRUE,
G4,,LAX,,MSO,TRUE,TRUE,TRUE,
G4,,LAS,,MSO,TRUE,TRUE,,
G4,,AZA,,MSO,TRUE,TRUE,,
G4,,SRQ,,MSP,TRUE,TRUE,,
G4,,VPS,,MSP,TRUE,TRUE,,
G4,,PGD,,MSP,TRUE,TRUE,,
G4,,AZA,,MSP,TRUE,TRUE,,
G4,,BNA,,MYR,TRUE,TRUE,TRUE,
G4,,PGD,,IAG,TRUE,TRUE,,
G4,,SFB,,IAG,TRUE,TRUE,,
G4,,PIE,,IAG,TRUE,TRUE,,
G4,,VPS,,OKC,TRUE,TRUE,TRUE,
G4,,SFB,,OKC,TRUE,TRUE,TRUE,
G4,,VPS,,OMA,TRUE,TRUE,,
G4,,PGD,,OMA,TRUE,TRUE,,
G4,,LAS,,OMA,TRUE,TRUE,,
G4,,AZA,,OMA,TRUE,TRUE,,
G4,,SFB,,OMA,TRUE,TRUE,,
G4,,PIE,,OMA,TRUE,TRUE,,
G4,,JAX,,ORF,TRUE,TRUE,,
G4,,SFB,,ORF,TRUE,TRUE,,
G4,,SRQ,,PBG,TRUE,TRUE,,
G4,,FLL,,PBG,TRUE,TRUE,,
G4,,PGD,,PBG,TRUE,TRUE,,
G4,,SFB,,PBG,TRUE,TRUE,,
G4,,PIE,,PBG,TRUE,TRUE,,
G4,,MDW,,PGD,TRUE,TRUE,,
G4,,SAV,,PGD,TRUE,TRUE,,
G4,,BNA,,PGD,TRUE,TRUE,,
G4,,DEN,,PIA,TRUE,TRUE,,
G4,,SRQ,,PIA,TRUE,TRUE,,
G4,,FLL,,PIA,TRUE,TRUE,,
G4,,BNA,,PIA,TRUE,TRUE,,
G4,,VPS,,PIA,TRUE,TRUE,TRUE,
G4,,PGD,,PIA,TRUE,TRUE,,
G4,,LAS,,PIA,TRUE,TRUE,,
G4,,AZA,,PIA,TRUE,TRUE,,
G4,,SFB,,PIA,TRUE,TRUE,,
G4,,PIE,,PIA,TRUE,TRUE,,
G4,,EYW,,PIE,TRUE,TRUE,,
G4,,SAV,,PIE,TRUE,TRUE,,
G4,,BNA,,PIE,TRUE,TRUE,,
G4,,AUS,,PIT,TRUE,TRUE,TRUE,
G4,,MSY,,PIT,TRUE,TRUE,TRUE,
G4,,PBI,,PIT,TRUE,TRUE,,
G4,,EYW,,PIT,TRUE,TRUE,,
G4,,MLB,,PIT,TRUE,TRUE,,
G4,,ORF,,PIT,TRUE,TRUE,TRUE,
G4,,JAX,,PIT,TRUE,TRUE,,
G4,,SAV,,PIT,TRUE,TRUE,,
G4,,SRQ,,PIT,TRUE,TRUE,,
G4,,MYR,,PIT,TRUE,TRUE,,
G4,,BNA,,PIT,TRUE,TRUE,,
G4,,VPS,,PIT,TRUE,TRUE,,
G4,,PGD,,PIT,TRUE,TRUE,,
G4,,SFB,,PIT,TRUE,TRUE,,
G4,,PIE,,PIT,TRUE,TRUE,,
G4,,AZA,,PDX,TRUE,TRUE,,
G4,,LAX,,PSC,TRUE,TRUE,TRUE,
G4,,LAS,,PSC,TRUE,TRUE,,
G4,,AZA,,PSC,TRUE,TRUE,,
G4,,SRQ,,PSM,TRUE,TRUE,,
G4,,MYR,,PSM,TRUE,TRUE,TRUE,
G4,,PGD,,PSM,TRUE,TRUE,,
G4,,SFB,,PSM,TRUE,TRUE,,
G4,,PIE,,PSM,TRUE,TRUE,,
G4,,BNA,,PVD,TRUE,TRUE,,
G4,,PGD,,PVD,TRUE,TRUE,,
G4,,AUS,,PVU,TRUE,TRUE,,
G4,,MDW,,PVU,TRUE,TRUE,,
G4,,HOU,,PVU,TRUE,TRUE,,
G4,,PHX,,PVU,TRUE,TRUE,,
G4,,PDX,,PVU,TRUE,TRUE,,
G4,,SNA,,PVU,TRUE,TRUE,,
G4,,BNA,,PVU,TRUE,TRUE,,
G4,,SAN,,PVU,TRUE,TRUE,,
G4,,LAS,,PVU,TRUE,TRUE,,
G4,,AZA,,PVU,TRUE,TRUE,,
G4,,SFB,,PVU,TRUE,TRUE,,
G4,,LAX,,RAP,TRUE,TRUE,,
G4,,PGD,,RAP,TRUE,TRUE,TRUE,
G4,,LAS,,RAP,TRUE,TRUE,,
G4,,AZA,,RAP,TRUE,TRUE,,
G4,,SFB,,RAP,TRUE,TRUE,,
G4,,SRQ,,RFD,TRUE,TRUE,,
G4,,BNA,,RFD,TRUE,TRUE,,
G4,,VPS,,RFD,TRUE,TRUE,TRUE,
G4,,LAX,,RFD,TRUE,TRUE,,
G4,,PGD,,RFD,TRUE,TRUE,,
G4,,LAS,,RFD,TRUE,TRUE,,
G4,,AZA,,RFD,TRUE,TRUE,,
G4,,SFB,,RFD,TRUE,TRUE,,
G4,,PIE,,RFD,TRUE,TRUE,,
G4,,BNA,,RIC,TRUE,TRUE,,
G4,,PGD,,RIC,TRUE,TRUE,,
G4,,SFB,,RIC,TRUE,TRUE,,
G4,,PIE,,RIC,TRUE,TRUE,,
G4,,SFB,,ROA,TRUE,TRUE,,
G4,,PIE,,ROA,TRUE,TRUE,,
G4,,PGD,,ROC,TRUE,TRUE,,
G4,,SFB,,ROC,TRUE,TRUE,TRUE,
G4,,LAS,,SAN,TRUE,TRUE,TRUE,
G4,,LAS,,SMX,TRUE,TRUE,,
G4,,LAS,,SAT,TRUE,TRUE,TRUE,
G4,,SFB,,SAT,TRUE,TRUE,TRUE,
G4,,MDW,,SAV,TRUE,TRUE,,
G4,,EWR,,SAV,TRUE,TRUE,,
G4,,FLL,,SAV,TRUE,TRUE,,
G4,,BNA,,SAV,TRUE,TRUE,TRUE,
G4,,PGD,,SAV,TRUE,TRUE,,
G4,,PIE,,SAV,TRUE,TRUE,,
G4,,SRQ,,SBN,TRUE,TRUE,,
G4,,PGD,,SBN,TRUE,TRUE,,
G4,,LAS,,SBN,TRUE,TRUE,,
G4,,AZA,,SBN,TRUE,TRUE,,
G4,,SFB,,SBN,TRUE,TRUE,,
G4,,PIE,,SBN,TRUE,TRUE,,
G4,,PHX,,SCK,TRUE,TRUE,,
G4,,LAS,,SCK,TRUE,TRUE,,
G4,,CHS,,SDF,TRUE,TRUE,TRUE,
G4,,MSY,,SDF,TRUE,TRUE,TRUE,
G4,,SAV,,SDF,TRUE,TRUE,TRUE,
G4,,SRQ,,SDF,TRUE,TRUE,,
G4,,FLL,,SDF,TRUE,TRUE,,
G4,,MYR,,SDF,TRUE,TRUE,TRUE,
G4,,VPS,,SDF,TRUE,TRUE,,
G4,,PGD,,SDF,TRUE,TRUE,,
G4,,LAS,,SDF,TRUE,TRUE,TRUE,
G4,,SFB,,SDF,TRUE,TRUE,,
G4,,PIE,,SDF,TRUE,TRUE,,
G4,,AUS,,SFB,TRUE,TRUE,TRUE,
G4,,EYW,,SFB,TRUE,TRUE,,
G4,,ORF,,SFB,TRUE,TRUE,,
G4,,BNA,,SFB,TRUE,TRUE,,
G4,,VPS,,SGF,TRUE,TRUE,,
G4,,LAX,,SGF,TRUE,TRUE,,
G4,,PGD,,SGF,TRUE,TRUE,,
G4,,LAS,,SGF,TRUE,TRUE,,
G4,,AZA,,SGF,TRUE,TRUE,,
G4,,SFB,,SGF,TRUE,TRUE,,
G4,,PIE,,SGF,TRUE,TRUE,,
G4,,VPS,,SHV,TRUE,TRUE,TRUE,
G4,,LAS,,SHV,TRUE,TRUE,,
G4,,SFB,,SHV,TRUE,TRUE,TRUE,
G4,,PGD,,SPI,TRUE,TRUE,,
G4,,AUS,,SRQ,TRUE,TRUE,,
G4,,BOS,,SRQ,TRUE,TRUE,,
G4,,BNA,,SRQ,TRUE,TRUE,,
G4,,PGD,,STC,TRUE,TRUE,,
G4,,AZA,,STC,TRUE,TRUE,,
G4,,SAV,,SWF,TRUE,TRUE,TRUE,
G4,,FLL,,SWF,TRUE,TRUE,,
G4,,MYR,,SWF,TRUE,TRUE,,
G4,,PGD,,SWF,TRUE,TRUE,,
G4,,SFB,,SWF,TRUE,TRUE,,
G4,,PIE,,SWF,TRUE,TRUE,,
G4,,SRQ,,SYR,TRUE,TRUE,,
G4,,FLL,,SYR,TRUE,TRUE,,
G4,,MYR,,SYR,TRUE,TRUE,TRUE,
G4,,BNA,,SYR,TRUE,TRUE,,
G4,,PGD,,SYR,TRUE,TRUE,,
G4,,SFB,,SYR,TRUE,TRUE,,
G4,,PIE,,SYR,TRUE,TRUE,,
G4,,PGD,,TOL,TRUE,TRUE,,
G4,,AZA,,TOL,TRUE,TRUE,,
G4,,SFB,,TOL,TRUE,TRUE,,
G4,,PIE,,TOL,TRUE,TRUE,,
G4,,SFB,,TRI,TRUE,TRUE,,
G4,,PIE,,TRI,TRUE,TRUE,,
G4,,VPS,,TUL,TRUE,TRUE,TRUE,
G4,,LAX,,TUL,TRUE,TRUE,,
G4,,LAS,,TUL,TRUE,TRUE,,
G4,,SFB,,TUL,TRUE,TRUE,,
G4,,PIE,,TUL,TRUE,TRUE,TRUE,
G4,,FLL,,TVC,TRUE,TRUE,,
G4,,PGD,,TVC,TRUE,TRUE,,
G4,,AZA,,TVC,TRUE,TRUE,,
G4,,SFB,,TVC,TRUE,TRUE,,
G4,,PIE,,TVC,TRUE,TRUE,,
G4,,AUS,,TYS,TRUE,TRUE,,
G4,,BOS,,TYS,TRUE,TRUE,,
G4,,MDW,,TYS,TRUE,TRUE,,
G4,,HOU,,TYS,TRUE,TRUE,,
G4,,BWI,,TYS,TRUE,TRUE,TRUE,
